"Cart Product ID","SKU","Product","Price","hsCode","country","Weight","Length","Width","Height",
"#44999082115362","PAP1CGR3738S","Aptus Mineral-CALMAG - 1L","45.00","","","1.4","0","0","0",
"#44999082180898","PAP2CGR3740S","Aptus Mineral-CALMAG - 20L","800.00","","","20","0","0","0",
"#44999082148130","PAP5CGR3739S","Aptus Mineral-CALMAG - 5L","210.00","","","5","0","0","0",
"#44999146275106","PAPSGR3747S","Aptus Organic Starter Kit | for Soil / Terra / Coco","190.00","","","1.5","0","0","0",
"#44999005929762","PAP1GR3295S","Aptus PeakBoost - 100ml","30.00","","","0.1","0","0","0",
"#44999009567010","PAP1GR3298S","Aptus PeakBoost - 1L","200.00","","","1","0","0","0",
"#44998997737762","PAP2GR3296S","Aptus PeakBoost - 250ml","55.00","","","0.25","0","0","0",
"#44999007437090","PAP5GR3297S","Aptus PeakBoost - 500ml","110.00","","","0.5","0","0","0",
"#44999011860770","PAP5GR3299S","Aptus PeakBoost - 5L","850.00","","","5","0","0","0",
"#44993672741154","PAP1AGR3267S","Aptus StartBoost - 100ml","45.00","","","0.1","0","0","0",
"#44993672839458","PAP1AGR3270S","Aptus StartBoost - 1L","400.00","","","1","0","0","0",
"#44993672904994","PAP2AGR3272S","Aptus StartBoost - 20L","6200.00","","","20","0","0","0",
"#44993672773922","PAP2AGR3268S","Aptus StartBoost - 250ml","105.00","","","0.3","0","0","0",
"#44993672806690","PAP5AGR3269S","Aptus StartBoost - 500ml","200.00","","","0.5","0","0","0",
"#44993672872226","PAP5AGR3271S","Aptus StartBoost - 5L","1800.00","","","5","0","0","0",
"#44999110230306","PAP1CGR3742S","Aptus System-Clean - 1L","45.00","","","1","0","0","0",
"#44999110295842","PAP2CGR3744S","Aptus System-Clean - 20L","750.00","","","20","0","0","0",
"#44999110197538","PAP5CGR3741S","Aptus System-Clean - 500ml","25.00","","","0.5","0","0","0",
"#44999110263074","PAP5CGR3743S","Aptus System-Clean - 5L","210.00","","","5","0","0","0",
"#44591788556578","PAIGR3259S","Aqua One 2 Air Stone"","1.00","","","0.01","0","0","0",
"#44593397563682","PAQAGR3623S","Aqua One Air Pump 9500","30.00","","","2","0","0","0",
"#44591788654882","PAQIGR3261S","Aqua One Air Stone Ceramic 25x15mm 2pk","9.95","","","0","0","0","0",
"#44591783575842","PAQIGR3163S","Aqua One Air Stone Ceramic 6 / 15cm"","4.95","","","0","0","0","0",
"#44591788622114","PAQIGR3260S","Aqua One Air Stone Ceramic 80mm x 20mm","6.50","","","0","0","0","0",
"#44591788720418","PAQIGR3262S","Aqua One Air Stone Flexible 30cm","4.95","","","0","0","0","0",
"#44591788753186","PAQGR3263S","Aqua One Air Stone Flexible 60cm","10.00","","","0","0","0","0",
"#44591783837986","PAQWGR3165S","Aqua One Maxi Powerhead 101 - 400L/Hr","20.00","","","0.5","0","0","0",
"#44591783870754","PAQWGR3166S","Aqua One Maxi Powerhead 102 - 500L/Hr","30.00","","","0.5","15","11.5","5",
"#44592614506786","PAQWGR3617S","Aqua One Maxi Powerhead 103 - 1200L/Hr","32.50","","","1","15.5","12","8",
"#44592651829538","PAQWGR3618S","Aqua One Maxi Powerhead 104 - 2000L/Hr","45.00","","","2","0","0","0",
"#44592687513890","PAQWGR3619S","Aqua One Maxi Powerhead 105 - 2500L/Hr","55.00","","","3","0","0","0",
"#44593173889314","PAQWGR3620S","Aqua One Maxi Powerhead 106 - 3000L/Hr","105.00","","","3","0","0","0",
"#44591783608610","PAQAGR3164S","Aqua One Precision Air Pump 2500 150L","15.00","","","1","0","0","0",
"#44593373905186","PAQAGR3622S","Aqua One Precision Air Pump SR12000 - 1900 L","80.00","","","5","0","0","0",
"#44593338089762","PAQAGR3621S","Aqua One Precision Air Pump Twin Outlet SR7500 (360L/hr)","25.00","","","0","0","0","0",
"#45575917142306","PARGGR3967S","ARS Floral Scissors Black","87.50","","","1","0","0","0",
"#44592117743906","PAIAVGR3401S","BAC Air Socks - Air Socks 3m x 160mm","50.00","","","0","0","0","0",
"#44592117776674","PAIAVGR3402S","BAC Air Socks - Air Socks 3m x 200mm","70.00","","","0","0","0","0",
"#44592117809442","PAIAVGR3403S","BAC Air Socks - Air Socks 3m x 254mm","80.00","","","0","0","0","0",
"#44592117678370","PAIAVGR3399S","BAC Air Socks - Air Socks 5m x 160mm","55.00","","","0","0","0","0",
"#44592117711138","PAIAVGR3400S","BAC Air Socks - Air Socks 5m x 200mm","70.00","","","0","0","0","0",
"#44591805137186","PBAAGR3614S","BAC Bio Clone Cloning gel 100ml","15.00","","","0.01","0","0","0",
"#44594117116194","PBA1GR3609S","BAC Bloom Stimulator - 120ml","80.00","","","0.12","0","0","0",
"#44593814733090","PBA3GR3608S","BAC Bloom Stimulator - 300ml","140.00","","","0.12","0","0","0",
"#44594132844834","PBA2GR3596S","BAC Coco Grow AB - 2X10L","145.00","","","20","0","0","0",
"#44594132812066","PBA2GR3595S","BAC Coco Grow AB - 2X5L","95.00","","","10","0","0","0",
"#44594148933922","PBA1GR3599S","BAC F1 Extreme Booster - 10L","280.00","","","0","0","0","0",
"#44594148868386","PBA1GR3597S","BAC F1 Extreme Booster - 1L","45.00","","","1.2","23","8.5","8.5",
"#44594148966690","PBA2GR3600S","BAC F1 Extreme Booster - 20L","395.00","","","20","0","0","0",
"#44594148901154","PBA5GR3598S","BAC F1 Extreme Booster - 5L","180.00","","","0","0","0","0",
"#44594155585826","PBA1AGR3601S","BAC F1 Superbud Booster - 1L","40.00","","","1.2","23","8.5","8.5",
"#44594155618594","PBA5AGR3602S","BAC F1 Superbud Booster - 5L","130.00","","","5","0","0","0",
"#44597930754338","PBA1AGR3605S","BAC Final Solution Soil Conditioner - 120ml","80.00","","","0.12","0","0","0",
"#44597930721570","PBA6AGR3604S","BAC Final Solution Soil Conditioner - 60ml","45.00","","","0.06","0","0","0",
"#45203865993506","PBAGR3780S","BAC funky fungi","50.00","","","0.2","0","0","0",
"#44591805202722","PBATGR3616S","BAC Green Active Eye Work Light 78 LED","39.99","","","0.25","0","0","0",
"#44591669182754","PBAFGR3160S","BAC Hydro Grow A&B 1L","15.00","","","2.4","23","17","8.5",
"#45064363540770","PBAGR3758S","BAC Lime","25.00","","","5","0","0","0",
"#44591804481826","PBANGR3603S","BAC Organic Bloom Nutrients 1L","40.00","","","1.2","23","8.5","8.5",
"#44594404884770","PBANGR3624S","BAC Organic Grow Nutrients 1L","40.00","","","1.2","23","8.5","8.5",
"#44597966962978","PBA1GR3610S","BAC Organic Pro Active - 120ml","70.00","","","0.12","0","0","0",
"#44597966995746","PBA5GR3611S","BAC Organic Pro Active - 500ml","180.00","","","0.5","0","0","0",
"#44597992718626","PBA1GR3606S","BAC Root Stimulator - 120ml","80.00","","","0","0","0","0",
"#44597992751394","PBA3GR3607S","BAC Root Stimulator - 300ml","190.00","","","0.3","0","0","0",
"#44598073032994","PBA1AGR3612S","BAC Silica Power - 1L","40.00","","","1.2","23","8.5","8.5",
"#44598073065762","PBA5AGR3613S","BAC Silica Power - 5L","175.00","","","5","0","0","0",
"#46867575701794","PBAGR4007S","BAC Stim Pack","100.00","","","0.1","0","0","0",
"#45057113391394","PSU1AGR3694S","Bio Diesel - Super Natural - 1L","95.00","","","1","0","0","0",
"#45057113358626","PSU2AGR3693S","Bio Diesel - Super Natural - 250ml","34.00","","","0.25","0","0","0",
"#45056975536418","PBI1AGR3696S","Bio Diesel Aloevate - Organic Plant Tonic - 1L","45.00","","","1","0","0","0",
"#45056975503650","PBI2AGR3695S","Bio Diesel Aloevate - Organic Plant Tonic - 250ml","14.00","","","0.25","0","0","0",
"#44989452681506","PBI1MGR3702S","Bio Diesel Bio-One - Beneficial Microbe Inoculant - 1L","145.00","","","1","0","0","0",
"#44989452779810","PBI2MGR3704S","Bio Diesel Bio-One - Beneficial Microbe Inoculant - 20L","985.00","","","20","0","0","0",
"#44989452648738","PBI2MGR3701S","Bio Diesel Bio-One - Beneficial Microbe Inoculant - 250ml","47.00","","","0.25","0","0","0",
"#44989452747042","PBI5MGR3703S","Bio Diesel Bio-One - Beneficial Microbe Inoculant - 5L","380.00","","","5","0","0","0",
"#44944186409250","PBIPGR3707S","Bio Diesel Coco Propagation Plugs - 38mm - 100 Pack","35.00","","","0.1","0","0","0",
"#44944179396898","PBICGR3688S","Bio Diesel Complete Starter Kit OG","255.00","","","9","0","0","0",
"#44599050797346","PBI1AGR3172S","Bio Diesel Flower/Bloom Enhancer - 1L","54.00","","","1.2","0","0","0",
"#45231475851554","PBI2AGR3171S","Bio Diesel Flower/Bloom Enhancer - 250ml","12.50","","","0.3","0","0","0",
"#44599050830114","PBI5AGR3173S","Bio Diesel Flower/Bloom Enhancer - 5L","220.00","","","6","0","0","0",
"#46665318662434","PBIGGR3987S","Bio Diesel Living Soil 30L","50.00","","","18.6","0","0","0",
"#44598982017314","PBI1NGR3175S","Bio Diesel Marine CaMg+ - Growth Enhancer - 1L","75.00","","","1","0","0","0",
"#44598982181154","PBI2NGR3177S","Bio Diesel Marine CaMg+ - Growth Enhancer - 20L","725.00","","","20","0","0","0",
"#44598981919010","PBI2NGR3174S","Bio Diesel Marine CaMg+ - Growth Enhancer - 250ml","23.00","","","0.25","0","0","0",
"#44598982082850","PBI5NGR3176S","Bio Diesel Marine CaMg+ - Growth Enhancer - 5L","180.00","","","5","0","0","0",
"#46667586830626","PBICGR3986S","Bio Diesel Premium 70/30 Coco Blend - 50L","50.00","","","11.5","68","42","14",
"#45056944570658","PBI1AGR3700S","Bio Diesel Rhino K - Organic Flower Hardener - 1L","72.00","","","1","0","0","0",
"#45056944537890","PBI2AGR3699S","Bio Diesel Rhino K - Organic Flower Hardener - 250ml","22.00","","","0.25","0","0","0",
"#44591784526114","PBIIGR3178S","Bio Green Garlic Eco Protector 1L","65.00","","","1","0","0","0",
"#44599072031010","PBL1TGR3479S","Black Vinyl Poly Tubing - 13mm x 30m roll","45.00","","AU","4.5","32","32","21",
"#44599072063778","PBL1TGR3480S","Black Vinyl Poly Tubing - 19mm x 30m roll","65.00","","AU","7.6","40","40","21",
"#47037562519842","PBLGR4039S","Bluelab Combo Meter","425.00","","","1","0","0","0",
"#44591784263970","PBLPGR3169S","Bluelab Commercial Truncheon Nutrient Meter","250.00","","","0","0","0","0",
"#44591784132898","PBLPGR3167S","Bluelab Conductivity Pen","115.00","","","0.1","0","0","0",
"#47037556785442","PBLGR4037S","Bluelab Guardian Monitor","485.00","","","1","0","0","0",
"#47037569728802","PBLGR4040S","Bluelab Multimedia pH Meter","380.00","","","1","0","0","0",
"#47037559931170","PBLGR4038S","Bluelab Soil pH Meter","250.00","","","1","0","0","0",
"#44591788491042","PBLBGR3258S","Blumat 3mm Dripper Tube 10m","18.00","","","0.1","19","20","1",
"#44591787966754","PBLBGR3247S","Blumat 8mm Elbow Connectors","4.50","","","0.1","0","0","0",
"#45294750138658","PTRBGR3910S","Blumat Bonsai with Dripper Tube","40.00","","","0.2","0","0","0",
"#45294776090914","PTRBGR3911S","Blumat Bottle Adapter","7.50","","","0.1","0","0","0",
"#45294816231714","PTRBGR3912S","Blumat Classic (jr) Watering Stake","10.00","","","0.1","0","0","0",
"#45294835204386","PTRBGR3913S","Blumat Classic (Jr) XL Automatic Watering Stakes","12.50","","","0.1","0","0","0",
"#44591788425506","PBLBGR3257S","Blumat Digital Moisture Meter 20cm","90.00","","","0.25","24","6","6",
"#45294952022306","PBLBGR3915S","Blumat Distribution Dripper 3mm","2.00","","","0.01","0","0","0",
"#44591788327202","PBLBGR3255S","Blumat Distribution Dripper Kit","20.00","","","0.1","0","0","0",
"#44591788196130","PBLBGR3252S","Blumat Drip System Mini Connectors 3mm","5.00","","","0.1","0","0","0",
"#44591788130594","PBLBGR3251S","Blumat Drip System Mini T Junction 3mm","5.00","","","0.1","0","0","0",
"#44591788294434","PBLBGR3254S","Blumat Drip System Shut-off Valve 8mm","6.50","","","0.1","0","0","0",
"#45294963917090","PBLBGR3916S","Blumat End Distribution Dripper 3mm","2.00","","","0.01","0","0","0",
"#45294740046114","PTRBGR3909S","Blumat Flat Capillary","65.00","","","0.2","0","0","0",
"#45294663434530","PCUBGR3905S","Blumat Hole Cutter","40.00","","","1","0","0","0",
"#44591787999522","PBLBGR3248S","Blumat Hose Connectors 8mm","4.50","","","0.1","0","0","0",
"#44591788392738","PBLBGR3256S","Blumat Hose Support Spikes 10pk","10.00","","","0.1","0","0","0",
"#47134175527202","PTRBGR3908S","Blumat Maxi Carrot - With Tubing & T Piece","12.00","","","0.2","0","0","0",
"#47134175559970","PTRBGR3908S-2","Blumat Maxi Carrot - Without Tubing & T Piece","10.00","","","0.2","0","0","0",
"#44591787868450","PBLBGR3245S","Blumat Pressure Reducer","45.00","","","0.4","0","0","0",
"#45294973518114","PBLBGR3917S","Blumat Protective Dripper Cap","0.50","","","0.01","0","0","0",
"#47134187782434","PTRBGR3918S","Blumat Regular Carrot - With Tubing & T Piece","9.00","","","0.1","0","0","0",
